% pos mode : single
%Elevation Mask(°) 10
% navi sys : gps
% ionos opt : Iono-Free LC(C1C C1W)
%tropo opt : Saastamoinen
% GPST
% 卫星类型      卫星编号               卫星坐标X   Y   Z                       卫星钟差      相对论效应改正        地球自转改正    对流层改正      无电离层组合
 <2022/07/19/ 00:00:00,
G10    1025809.37123,  -16785324.79411,   20629394.19285,  -4.9674392e-04,      1.70177001e-08,        16.52182,         5.88490,        23557567.16465,
G12   24540564.31336,   -9291420.84154,    3461830.25284,  -2.4852892e-04,      1.77927268e-08,        10.93576,         4.76116,        22768739.70971,
G13   22718039.20030,   12677471.93484,    5648722.32073,   3.5107045e-04,     -1.30134350e-08,       -10.72408,         4.12238,        22319845.43173,
G14   -3189255.00240,   17528429.88691,   19669805.80303,  -1.1163961e-04,      4.54584079e-09,       -17.41141,         7.34149,        23829240.41259,
G15   23738932.84944,     348168.04962,   11789728.20825,  -4.4369819e-05,     -3.23454728e-08,         1.43163,         2.79734,        20887448.78114,
G17    6802690.39321,   18879700.12091,   17802956.15390,   6.3841664e-04,     -2.08139921e-08,       -17.98913,         4.29046,        22582066.68496,
G19   15093139.10430,   19416020.47932,   10079080.91475,   1.8555180e-04,      2.11660882e-08,       -17.89548,         4.53619,        22620752.58426,
G23   11816628.52066,  -18865405.60902,   14391410.24619,  -3.3506989e-05,      2.92821874e-09,        19.36557,         4.77864,        22768925.35015,
G24   14594920.86736,   -7553572.02581,   20488854.29893,   1.9332221e-04,     -1.38354092e-08,         8.49041,         2.64363,        20334656.26159,
G28    5964036.36380,   14096725.63794,   22218543.11409,   3.3552166e-04,     -1.05843765e-08,       -13.36571,         3.45491,        22106720.40713,
 <2022/07/19/ 00:00:30,
G10    1094355.02410,  -16821906.76392,   20594934.86978,  -4.9674431e-04,      1.70382478e-08,        16.56277,         5.87616,        23552513.90353,
G12   24531127.96898,   -9277963.44987,    3556580.29284,  -2.4852913e-04,      1.77571398e-08,        10.92187,         4.72988,        22748625.47691,
G13   22730995.89579,   12696395.05418,    5556448.21576,   3.5107070e-04,     -1.29901815e-08,       -10.74165,         4.14696,        22338276.08208,
